time,up,down
0.05999999999999872,173,140
0.05600000000000094,434,499
0.05999999999999872,0,38
0.060000000000002274,0,4392
0.055999999999997385,0,0
0.060000000000002274,192,140
0.05600000000000094,182,155
0.05999999999999872,11,13
0.05600000000000094,0,0
0.05999999999999872,197,207
0.05600000000000094,4241,186
0.05999999999999872,659,3
0.05999999999999872,203,284
0.05600000000000094,81,63
0.060000000000002274,0,114
0.055999999999997385,121,4386
0.060000000000002274,198,180
0.055999999999997385,0,0
0.060000000000002274,4063,0
0.055999999999997385,222,0
0.060000000000002274,42,59
0.05999999999999872,240,200
0.05600000000000094,0,402
0.05999999999999872,0,4043
0.05600000000000094,94,116
0.05999999999999872,88,125
0.05600000000000094,4095,3
0.05999999999999872,322,47
0.060000000000002274,12,0
0.05600000000000094,1622,1429
0.05999999999999872,429,2354
0.05600000000000094,27,4124
0.05999999999999872,929,550
0.05600000000000094,810,519
0.05999999999999872,4133,2
0.05600000000000094,771,380
0.05999999999999872,0,0
0.060000000000002274,1365,1177
0.055999999999997385,1007,1090
0.060000000000002274,447,447
0.055999999999997385,595,755
0.060000000000002274,0,0
0.05600000000000094,296,3433
0.05999999999999872,784,4104
0.05600000000000094,535,592
0.05999999999999872,0,0
0.05999999999999872,289,286
0.05600000000000094,250,369
0.05999999999999872,14,26
0.05600000000000094,170,172
0.060000000000002274,4399,33
0.055999999999997385,161,69
0.060000000000002274,431,533
0.05999999999999872,213,344
0.05600000000000094,353,284
0.05999999999999872,3,3
0.05600000000000094,26,8
0.05900000000000105,3,0
0.05699999999999861,0,4452
0.05999999999999872,0,2
0.05600000000000094,64,56
0.05999999999999872,141,151
0.060000000000002274,4438,0
0.055999999999997385,64,26
0.060000000000002274,254,191
0.05600000000000094,4,80
0.05999999999999872,0,4438
0.05600000000000094,20,15
0.05999999999999872,3,0
0.05600000000000094,2,2
0.05999999999999872,0,0
0.05999999999999872,9,6
0.05600000000000094,338,399
0.060000000000002274,3583,215
0.055999999999997385,5001,131
0.060000000000002274,228,239
0.055999999999997385,602,585
0.060000000000002274,842,1451
0.05999999999999872,0,4386
0.05600000000000094,828,420
0.05999999999999872,41,43
0.05600000000000094,3583,15
0.05999999999999872,1175,14
0.05600000000000094,1364,967
0.05999999999999872,383,487
0.05600000000000094,12,246
